poolId,ticker,stakeAmount,"21,513,965,191,494,200",Cumulative,Bifrost stakeAmount,"17,242,689,233,737,000",Cumulative,51%
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,LBF4,"61,119,921,647,103",0.28%,36.52%,"61,119,921,647,103",0.28%,24.89%,
pool1m0drnjxsvnlesq0rwmur2rh6lenuql57jfzd6cf6aegj2cv7ugy,EMUR1,"60,850,488,754,529",0.28%,36.81%,"60,850,488,754,529",0.28%,25.17%,
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,N/A,"60,761,087,313,943",0.28%,37.09%,"60,761,087,313,943",0.28%,25.45%,
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,"60,112,382,238,475",0.28%,37.37%,"60,112,382,238,475",0.28%,25.73%,
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,ADAFR,"60,076,688,121,030",0.28%,37.65%,"60,076,688,121,030",0.28%,26.01%,
pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,MS4,"60,021,040,037,302",0.28%,37.93%,"60,021,040,037,302",0.28%,26.29%,
pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,RSTK,"60,009,341,249,238",0.28%,38.21%,"60,009,341,249,238",0.28%,26.57%,
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,POLY,"59,852,747,561,295",0.28%,38.48%,"59,852,747,561,295",0.28%,26.85%,
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,ROCKY,"59,829,592,582,374",0.28%,38.76%,"59,829,592,582,374",0.28%,27.12%,
pool1tdvqgy6mq7lx7d345e276xmgmhh3s4zj8dzu6xzq5m7rx4tzkg2,ONYX,"59,809,826,298,835",0.28%,39.04%,"59,809,826,298,835",0.28%,27.40%,
pool19066qvd5dv6vq7fh5a5l7muzk6nc5fw8zq3w4tclyrhvjvlyeuc,ETO2,"59,720,178,043,690",0.28%,39.32%,"59,720,178,043,690",0.28%,27.68%,
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,ST3AK,"59,380,194,692,114",0.28%,39.59%,"59,380,194,692,114",0.28%,27.96%,
pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,,"59,136,726,907,324",0.27%,39.87%,,0.00%,27.96%,
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,"58,833,417,372,618",0.27%,40.14%,"58,833,417,372,618",0.27%,28.23%,
pool1cunvnkjkzh2lna593sjmkylcr3r5rmxdpr8r9u6pfuer72p24x4,,"58,124,779,526,072",0.27%,40.41%,,0.00%,28.23%,
pool1u2fuz3fn5dfphf0cu0sewm4rnera445avenggle9sl4hy7rjzgv,N/A,"57,917,883,184,697",0.27%,40.68%,"57,917,883,184,697",0.27%,28.50%,
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,BRAVO,"57,552,718,828,686",0.27%,40.95%,"57,552,718,828,686",0.27%,28.77%,
